Typical Measured Spectrum of Semrock FF01-810/10 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	2.7264e-06
270.2	2.9807e-06
270.4	3.2586e-06
270.6	3.5625e-06
270.8	3.8947e-06
271.0	4.258e-06
271.2	4.655e-06
271.4	5.0892e-06
271.6	5.5638e-06
271.8	6.0826e-06
272.0	6.6499e-06
272.2	7.27e-06
272.4	7.948e-06
272.6	8.6892e-06
272.8	9.4995e-06
273.0	1.0385e-05
273.2	1.1354e-05
273.4	1.2413e-05
273.6	1.357e-05
273.8	1.4836e-05
274.0	1.6219e-05
274.2	3.3978e-05
274.4	7.7137e-05
274.6	1.7512e-04
274.8	3.9755e-04
275.0	9.0253e-04
275.2	5.1863e-04
275.4	2.9802e-04
275.6	1.7126e-04
275.8	9.841e-05
276.0	5.655e-05
276.2	3.2496e-05
276.4	1.8673e-05
276.6	1.073e-05
276.8	6.1661e-06
277.0	3.5433e-06
277.2	2.0361e-06
277.4	1.17e-06
277.6	6.7234e-07
277.8	3.8635e-07
278.0	3.4631e-07
278.2	3.4111e-07
278.4	3.36e-07
278.6	3.3096e-07
278.8	3.2599e-07
279.0	3.2111e-07
279.2	3.1629e-07
279.4	3.1155e-07
279.6	3.0687e-07
279.8	3.0227e-07
280.0	2.9774e-07
280.2	2.9327e-07
280.4	2.8888e-07
280.6	2.8454e-07
280.8	2.8028e-07
281.0	2.7607e-07
281.2	2.7193e-07
281.4	2.6785e-07
281.6	2.6384e-07
281.8	2.5988e-07
282.0	2.5598e-07
282.2	2.5214e-07
282.4	2.4836e-07
282.6	2.4437e-07
282.8	2.4019e-07
283.0	2.3607e-07
283.2	2.3203e-07
283.4	2.2806e-07
283.6	2.2415e-07
283.8	2.2031e-07
284.0	2.1654e-07
284.2	2.1283e-07
284.4	2.0918e-07
284.6	2.056e-07
284.8	2.0208e-07
285.0	1.9862e-07
285.2	1.9533e-07
285.4	1.9209e-07
285.6	1.8891e-07
285.8	1.8578e-07
286.0	1.827e-07
286.2	1.7967e-07
286.4	1.767e-07
286.6	1.7377e-07
286.8	1.7089e-07
287.0	1.6806e-07
287.2	1.6527e-07
287.4	1.6253e-07
287.6	1.5984e-07
287.8	1.5719e-07
288.0	1.5478e-07
288.2	1.5244e-07
288.4	1.5013e-07
288.6	1.4785e-07
288.8	1.4561e-07
289.0	1.434e-07
289.2	1.4123e-07
289.4	1.3909e-07
289.6	1.3698e-07
289.8	1.3491e-07
290.0	1.3286e-07
290.2	1.3085e-07
290.4	1.2887e-07
290.6	1.2691e-07
290.8	1.2499e-07
291.0	1.231e-07
291.2	1.2123e-07
291.4	1.1939e-07
291.6	1.1758e-07
291.8	1.158e-07
292.0	1.1405e-07
292.2	1.1232e-07
292.4	1.1062e-07
292.6	1.0852e-07
292.8	1.0614e-07
293.0	1.038e-07
293.2	1.0152e-07
293.4	9.9282e-08
293.6	9.7097e-08
293.8	9.4961e-08
294.0	9.2871e-08
294.2	9.0827e-08
294.4	8.8829e-08
294.6	8.6874e-08
294.8	8.4962e-08
295.0	8.3093e-08
295.2	9.7832e-08
295.4	1.1519e-07
295.6	1.3562e-07
295.8	1.5334e-07
296.0	1.7159e-07
296.2	1.92e-07
296.4	2.1484e-07
296.6	2.404e-07
296.8	2.6899e-07
297.0	3.0099e-07
297.2	3.368e-07
297.4	3.7687e-07
297.6	4.217e-07
297.8	4.7187e-07
298.0	5.28e-07
298.2	5.9081e-07
298.4	6.611e-07
298.6	7.3974e-07
298.8	8.2775e-07
299.0	9.2622e-07
299.2	1.0364e-06
299.4	1.1597e-06
299.6	1.2977e-06
299.8	1.452e-06
300.0	1.6248e-06
300.2	1.8181e-06
300.4	1.8385e-06
300.6	1.6661e-06
300.8	1.5099e-06
301.0	1.3683e-06
301.2	1.2401e-06
301.4	1.1238e-06
301.6	1.0184e-06
301.8	9.2293e-07
302.0	8.364e-07
302.2	7.5798e-07
302.4	6.8691e-07
302.6	6.2251e-07
302.8	5.6414e-07
303.0	5.1125e-07
303.2	4.6331e-07
303.4	4.1987e-07
303.6	3.8051e-07
303.8	3.4483e-07
304.0	3.125e-07
304.2	2.832e-07
304.4	2.5665e-07
304.6	2.3258e-07
304.8	2.1078e-07
305.0	1.909e-07
305.2	1.7175e-07
305.4	1.5452e-07
305.6	1.3902e-07
305.8	1.2507e-07
306.0	1.1253e-07
306.2	1.0124e-07
306.4	9.1085e-08
306.6	8.1948e-08
306.8	7.3728e-08
307.0	6.7887e-08
307.2	6.77e-08
307.4	6.7514e-08
307.6	6.7329e-08
307.8	6.7144e-08
308.0	6.6959e-08
308.2	6.6775e-08
308.4	6.6592e-08
308.6	6.6409e-08
308.8	6.6226e-08
309.0	6.6044e-08
309.2	6.5863e-08
309.4	6.5682e-08
309.6	6.5501e-08
309.8	6.5321e-08
310.0	6.5142e-08
310.2	6.4963e-08
310.4	6.4784e-08
310.6	6.4606e-08
310.8	6.4429e-08
311.0	6.4252e-08
311.2	6.4075e-08
311.4	6.3899e-08
311.6	6.3724e-08
311.8	6.336e-08
312.0	6.2975e-08
312.2	6.2592e-08
312.4	6.2212e-08
312.6	6.1834e-08
312.8	6.1458e-08
313.0	6.1085e-08
313.2	6.0713e-08
313.4	6.0344e-08
313.6	5.9978e-08
313.8	5.9613e-08
314.0	5.9251e-08
314.2	5.8891e-08
314.4	5.8533e-08
314.6	5.8177e-08
314.8	5.7824e-08
315.0	5.7473e-08
315.2	5.7123e-08
315.4	5.6776e-08
315.6	5.6431e-08
315.8	5.6088e-08
316.0	5.5747e-08
316.2	5.5409e-08
316.4	5.5146e-08
316.6	5.494e-08
316.8	5.4734e-08
317.0	5.453e-08
317.2	5.4326e-08
317.4	5.4122e-08
317.6	5.392e-08
317.8	5.3718e-08
318.0	5.3517e-08
318.2	5.3317e-08
318.4	5.3117e-08
318.6	5.2919e-08
318.8	5.2721e-08
319.0	5.2523e-08
319.2	5.2327e-08
319.4	5.2131e-08
319.6	5.1936e-08
319.8	5.1742e-08
320.0	5.1548e-08
320.2	5.1355e-08
320.4	5.1163e-08
320.6	5.0972e-08
320.8	5.0781e-08
321.0	5.0551e-08
321.2	5.0212e-08
321.4	4.9876e-08
321.6	4.9542e-08
321.8	4.9209e-08
322.0	4.888e-08
322.2	4.8552e-08
322.4	4.8227e-08
322.6	4.7903e-08
322.8	4.7582e-08
323.0	4.7263e-08
323.2	4.6946e-08
323.4	4.6632e-08
323.6	4.6319e-08
323.8	4.6009e-08
324.0	4.57e-08
324.2	4.5394e-08
324.4	4.509e-08
324.6	4.4788e-08
324.8	4.4487e-08
325.0	4.4189e-08
325.2	4.3893e-08
325.4	4.3599e-08
325.6	4.3307e-08
325.8	4.2807e-08
326.0	4.2309e-08
326.2	4.1816e-08
326.4	4.1329e-08
326.6	4.0848e-08
326.8	4.0372e-08
327.0	3.9902e-08
327.2	3.9437e-08
327.4	3.8977e-08
327.6	3.8523e-08
327.8	3.8075e-08
328.0	3.7631e-08
328.2	3.7193e-08
328.4	3.676e-08
328.6	3.6332e-08
328.8	3.5908e-08
329.0	3.549e-08
329.2	3.5077e-08
329.4	3.4668e-08
329.6	3.4264e-08
329.8	3.3865e-08
330.0	3.3471e-08
330.2	3.3081e-08
330.4	3.4972e-08
330.6	3.8106e-08
330.8	4.1521e-08
331.0	4.5242e-08
331.2	4.9297e-08
331.4	5.3715e-08
331.6	5.8529e-08
331.8	6.3775e-08
332.0	6.949e-08
332.2	7.5718e-08
332.4	8.2504e-08
332.6	8.9898e-08
332.8	9.7954e-08
333.0	1.0673e-07
333.2	1.163e-07
333.4	1.2672e-07
333.6	1.3808e-07
333.8	1.5045e-07
334.0	1.6394e-07
334.2	1.7863e-07
334.4	1.9464e-07
334.6	2.1208e-07
334.8	2.3109e-07
335.0	2.517e-07
335.2	2.7373e-07
335.4	2.9769e-07
335.6	3.2376e-07
335.8	3.521e-07
336.0	3.8292e-07
336.2	4.1644e-07
336.4	4.529e-07
336.6	4.9255e-07
336.8	5.3567e-07
337.0	5.4577e-07
337.2	4.721e-07
337.4	4.0838e-07
337.6	3.5326e-07
337.8	3.0558e-07
338.0	2.6433e-07
338.2	2.2865e-07
338.4	1.9779e-07
338.6	1.7109e-07
338.8	1.48e-07
339.0	1.2802e-07
339.2	1.1074e-07
339.4	9.5795e-08
339.6	8.2865e-08
339.8	7.168e-08
340.0	6.2005e-08
340.2	5.3635e-08
340.4	4.6396e-08
340.6	4.0134e-08
340.8	3.4716e-08
341.0	3.0031e-08
341.2	2.5977e-08
341.4	2.2471e-08
341.6	1.9438e-08
341.8	1.9304e-08
342.0	1.9211e-08
342.2	1.9119e-08
342.4	1.9027e-08
342.6	1.8936e-08
342.8	1.8845e-08
343.0	1.8755e-08
343.2	1.8665e-08
343.4	1.8575e-08
343.6	1.8486e-08
343.8	1.8398e-08
344.0	1.8309e-08
344.2	1.8222e-08
344.4	1.8134e-08
344.6	1.8047e-08
344.8	1.7961e-08
345.0	1.7875e-08
345.2	1.7789e-08
345.4	1.7703e-08
345.6	1.7619e-08
345.8	1.7534e-08
346.0	1.745e-08
346.2	1.7366e-08
346.4	1.7352e-08
346.6	1.7368e-08
346.8	1.7383e-08
347.0	1.7398e-08
347.2	1.7414e-08
347.4	1.7429e-08
347.6	1.7445e-08
347.8	1.746e-08
348.0	1.7475e-08
348.2	1.7491e-08
348.4	1.7506e-08
348.6	1.7522e-08
348.8	1.7537e-08
349.0	1.7553e-08
349.2	1.7568e-08
349.4	1.7584e-08
349.6	1.7599e-08
349.8	1.7615e-08
350.0	1.763e-08
350.2	1.7646e-08
350.4	1.7662e-08
350.6	1.7677e-08
350.8	1.7693e-08
351.0	1.7699e-08
351.2	1.7692e-08
351.4	1.7685e-08
351.6	1.7679e-08
351.8	1.7672e-08
352.0	1.7666e-08
352.2	1.7659e-08
352.4	1.7652e-08
352.6	1.7646e-08
352.8	1.7639e-08
353.0	1.7632e-08
353.2	1.7626e-08
353.4	1.7619e-08
353.6	1.7612e-08
353.8	1.7606e-08
354.0	1.7599e-08
354.2	1.7593e-08
354.4	1.7586e-08
354.6	1.7579e-08
354.8	1.7573e-08
355.0	1.7566e-08
355.2	1.756e-08
355.4	1.7553e-08
355.6	1.756e-08
355.8	1.7637e-08
356.0	1.7714e-08
356.2	1.7792e-08
356.4	1.787e-08
356.6	1.7948e-08
356.8	1.8027e-08
357.0	1.8105e-08
357.2	1.8185e-08
357.4	1.8264e-08
357.6	1.8344e-08
357.8	1.8425e-08
358.0	1.8505e-08
358.2	1.8586e-08
358.4	1.8667e-08
358.6	1.8749e-08
358.8	1.8831e-08
359.0	1.8914e-08
359.2	1.8996e-08
359.4	1.9079e-08
359.6	1.9163e-08
359.8	1.9247e-08
360.0	1.9331e-08
360.2	1.9416e-08
360.4	1.9904e-08
360.6	2.0438e-08
360.8	2.0987e-08
361.0	2.155e-08
361.2	2.2128e-08
361.4	2.2722e-08
361.6	2.3332e-08
361.8	2.3958e-08
362.0	2.4601e-08
362.2	2.5262e-08
362.4	2.594e-08
362.6	2.6636e-08
362.8	2.7351e-08
363.0	2.8085e-08
363.2	2.8839e-08
363.4	2.9613e-08
363.6	3.0408e-08
363.8	3.1224e-08
364.0	3.2062e-08
364.2	3.2922e-08
364.4	3.3806e-08
364.6	3.4713e-08
364.8	3.5645e-08
365.0	3.7035e-08
365.2	3.935e-08
365.4	4.1809e-08
365.6	4.4421e-08
365.8	4.7197e-08
366.0	5.0146e-08
366.2	5.328e-08
366.4	5.6609e-08
366.6	6.0147e-08
366.8	6.3905e-08
367.0	6.7899e-08
367.2	7.2142e-08
367.4	7.665e-08
367.6	8.144e-08
367.8	8.6529e-08
368.0	9.1936e-08
368.2	9.7681e-08
368.4	9.7874e-08
368.6	9.0439e-08
368.8	8.3569e-08
369.0	7.7221e-08
369.2	7.1355e-08
369.4	6.5934e-08
369.6	6.0926e-08
369.8	5.6298e-08
370.0	5.2021e-08
370.2	4.8069e-08
370.4	4.4418e-08
370.6	4.1044e-08
370.8	3.7926e-08
371.0	3.5045e-08
371.2	3.2383e-08
371.4	2.9923e-08
371.6	2.765e-08
371.8	2.555e-08
372.0	2.3609e-08
372.2	2.1815e-08
372.4	2.0158e-08
372.6	1.8627e-08
372.8	1.7212e-08
373.0	1.6263e-08
373.2	1.773e-08
373.4	1.9329e-08
373.6	2.1072e-08
373.8	2.2972e-08
374.0	2.5044e-08
374.2	2.7303e-08
374.4	2.9765e-08
374.6	3.2449e-08
374.8	3.5375e-08
375.0	3.8566e-08
375.2	4.2044e-08
375.4	4.5835e-08
375.6	4.9969e-08
375.8	5.4475e-08
376.0	5.9387e-08
376.2	6.4743e-08
376.4	7.0582e-08
376.6	7.6947e-08
376.8	8.3886e-08
377.0	9.1451e-08
377.2	9.9698e-08
377.4	1.0869e-07
377.6	1.1849e-07
377.8	1.1064e-07
378.0	1.0074e-07
378.2	9.1721e-08
378.4	8.3512e-08
378.6	7.6037e-08
378.8	6.9231e-08
379.0	6.3035e-08
379.2	5.7393e-08
379.4	5.2256e-08
379.6	4.7579e-08
379.8	4.332e-08
380.0	3.9443e-08
380.2	3.5913e-08
380.4	3.2698e-08
380.6	2.9772e-08
380.8	2.7107e-08
381.0	2.4681e-08
381.2	2.2472e-08
381.4	2.046e-08
381.6	1.8629e-08
381.8	1.6962e-08
382.0	1.5444e-08
382.2	1.4061e-08
382.4	1.3495e-08
382.6	1.3423e-08
382.8	1.3352e-08
383.0	1.3281e-08
383.2	1.3211e-08
383.4	1.3141e-08
383.6	1.3071e-08
383.8	1.3002e-08
384.0	1.2933e-08
384.2	1.2864e-08
384.4	1.2796e-08
384.6	1.2728e-08
384.8	1.2661e-08
385.0	1.2594e-08
385.2	1.2527e-08
385.4	1.246e-08
385.6	1.2394e-08
385.8	1.2329e-08
386.0	1.2263e-08
386.2	1.2198e-08
386.4	1.2134e-08
386.6	1.2069e-08
386.8	1.2005e-08
387.0	1.194e-08
387.2	1.1871e-08
387.4	1.1803e-08
387.6	1.1735e-08
387.8	1.1667e-08
388.0	1.16e-08
388.2	1.1533e-08
388.4	1.1467e-08
388.6	1.1401e-08
388.8	1.1335e-08
389.0	1.127e-08
389.2	1.1205e-08
389.4	1.114e-08
389.6	1.1076e-08
389.8	1.1012e-08
390.0	1.0949e-08
390.2	1.0886e-08
390.4	1.0823e-08
390.6	1.0761e-08
390.8	1.0699e-08
391.0	1.0637e-08
391.2	1.0576e-08
391.4	1.0515e-08
391.6	1.0503e-08
391.8	1.09e-08
392.0	1.1311e-08
392.2	1.1188e-08
392.4	1.1067e-08
392.6	1.0947e-08
392.8	1.0828e-08
393.0	1.1774e-08
393.2	1.3272e-08
393.4	1.496e-08
393.6	1.6864e-08
393.8	1.9009e-08
394.0	2.1427e-08
